sentId,before,after,idx,len_sent
34,at-least-3,some,0,8
36,at-most-2,no,0,8
78,a-lot-of,much,-1,9
80,a-lot-of,much,-1,11
80,at-least-3,some,0,7
81,at-least-3,some,0,6
82,a-lot-of,much,-1,11
82,at-most-10,no,0,7
83,at-most-10,no,0,6
125,a-lot-of,much,-1,11
126,at-least-3,some,0,6
127,a-lot-of,much,-1,11
127,at-least-3,some,0,7
128,at-most-10,no,0,6
129,a-lot-of,much,-1,11
129,at-most-10,no,0,7
161,a-lot-of,much,-1,10
162,a-lot-of,much,-1,11
163,at-least-3,some,0,7
164,at-least-3,some,0,6
165,at-most-10,no,0,7
166,at-most-10,no,0,6
198,a-lot-of,much,-1,9
199,a-lot-of,much,-1,12
200,at-least-3,some,0,6
201,at-least-3,some,0,7
202,at-most-10,no,0,6
203,at-most-10,no,0,7
